City,Hotel_Name,Price_DZD,Rating_Out_of_10,Reviews_Count,Latitude,Longitude,Facilities,URL
Constantine,Golden Tulip Hotel Alexandre,109500.0,1.0,1,36.25307420,6.71069730,Spa | Outdoor swimming pool | Family rooms | Non-smoking rooms | Free Wifi | Breakfast | Tea/Coffee Maker in All Rooms | Airport shuttle (free) | Free parking | Fitness center,https://www.booking.com/hotel/dz/golden-tulip-alexandre-el-khroub1.html
Constantine,Bel appartement,35000.0,6.5,2,36.24082286,6.55172819,Free parking,https://www.booking.com/hotel/dz/bel-appartement-qsntyn.html
Constantine,apartment in a quiet area,41000.0,N/A,0,36.35152497,6.63839945,Free parking,https://www.booking.com/hotel/dz/apartment-in-a-quiet-area.html
Constantine,Apartement haut standing,42500.0,9.3,3,36.31214564,6.62713073,Pool – outdoor (kids) | Family rooms | Non-smoking rooms | Free Wifi | Facilities for disabled guests | Free parking,https://www.booking.com/hotel/dz/apartement-haut-standing.html
Constantine,Appartement F3,27000.0,N/A,0,36.23042630,6.58740790,Parking on site | Free Wifi | Family rooms,https://www.booking.com/hotel/dz/appartement-f3-constantine.html
Constantine,Appartement F3 équipé Résidence Meriem Constantine Nouvelle Ville,42500.0,9.3,3,36.23005569,6.56392526,Non-smoking rooms | Free Wifi | Free parking | Family rooms,https://www.booking.com/hotel/dz/apartment-f3-ali-mendjeli-el-khroub.html
Constantine,Constantine Marriott Hotel,142500.0,8.3,261,36.33835943,6.62621498,Spa | 2 swimming pools | Non-smoking rooms | Free Wifi | Facilities for disabled guests | Airport shuttle | Bar | Breakfast | Fitness center | Room service,https://www.booking.com/hotel/dz/constantine-marriott.html
Constantine,Hotel El Bey Constantine,48000.0,8.2,119,36.33758674,6.65036762,Family rooms | Non-smoking rooms | Breakfast | Facilities for disabled guests | Restaurant | Free parking | Room service,https://www.booking.com/hotel/dz/el-bey-constantine2.html
Constantine,Ibis Constantine,38475.0,6.3,622,36.36544006,6.60691381,Free Wifi | Breakfast | Facilities for disabled guests | Bar | Restaurant | Free parking | Fitness center | Room service,https://www.booking.com/hotel/dz/ibis-constantine.html
Constantine,Motel La Casbah,27500.0,10.0,1,36.36649674,6.61017278,Free Wifi | Free parking | Family rooms | Room service,https://www.booking.com/hotel/dz/motel-la-casbah.html
Constantine,Duplexe familiale avec jardin,22750.0,5.1,6,36.41789622,6.59004306,Free Wifi | Free parking,https://www.booking.com/hotel/dz/duplexe-familiale-avec-jardin.html
Constantine,Hostel le Rhumel,15000.0,8.7,92,36.36889192,6.61743443,Airport shuttle | Free Wifi | Free parking,https://www.booking.com/hotel/dz/cirta-hostel.html
Constantine,Appartcirta,45000.0,9.0,1,36.36270490,6.60731833,Free Wifi | Free parking | Family rooms | Breakfast,https://www.booking.com/hotel/dz/appartcirta.html
Constantine,Novotel Constantine,46431.0,6.7,407,36.36533639,6.60651684,Family rooms | Good Breakfast | Non-smoking rooms | Free Wifi | Facilities for disabled guests | Bar | Restaurant | Free parking | Fitness center | Room service,https://www.booking.com/hotel/dz/novotel-constantine.html
Constantine,Appartement meublé,25500.0,9.7,3,36.35700520,6.63902820,Free parking | Family rooms | Wifi in all areas,https://www.booking.com/hotel/dz/appartement-meuble-constantine.html
Constantine,EL BEY,48875.0,7.6,5,36.33907000,6.64577300,Non-smoking rooms | Free Wifi | Airport shuttle | Restaurant | Breakfast | Room service,https://www.booking.com/hotel/dz/el-bey-constantine1.html
